context,comparison,gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h,probe_id,log2fc,pvalue,qvalue,t_stat,gene_annotation_raw,gene_symbol,log2FC_disease_state
RMC,"SMARCB1-null vs SMARCB1-rescue (disease state vs rescued control); raw l2fc columns are rescue-vs-null, so log2FC_disease_state = -mean_l2fc_48h",MAFF,-0.184646143346328,0.127108781938587,-1.12226865816909,5.47796589826251e-31,-0.165253452213635,0.999847911406781,-1.01204633207456,6.07099255799585e-19,-1.067157495121825,,,,,,,MAFF,1.067157495121825
Sarcomatoid UC,SARC vs conventional UC,FAM101B,,,,,,,,,,ILMN_1714418,1.6408408255639024,6.293028533525829e-12,3.0914765757422785e-10,,,FAM101B,1.6408408255639024
Sarcomatoid UC,SARC vs conventional UC,IGSF21,,,,,,,,,,ILMN_1730039,1.584886570722123,2.9963958192113295e-13,2.1108531103797664e-11,,,IGSF21,1.584886570722123
Sarcomatoid UC,SARC vs conventional UC,UHRF1,,,,,,,,,,ILMN_2401352,1.5518991885860602,4.030765595243777e-20,1.6446083457149506e-17,,,UHRF1,1.5518991885860602
Sarcomatoid UC,SARC vs conventional UC,PSRC1,,,,,,,,,,ILMN_1671843,1.5309654709366578,1.0656591600141848e-22,9.739859011065721e-20,,,PSRC1,1.5309654709366578
Sarcomatoid UC,SARC vs conventional UC,DUS3L,,,,,,,,,,ILMN_1723235,1.4834067312492216,3.37609244554361e-14,3.079280642788541e-12,,,DUS3L,1.4834067312492216
Sarcomatoid UC,SARC vs conventional UC,PHC2,,,,,,,,,,ILMN_1670147,1.475145043019836,5.686584555094175e-14,4.856244025436093e-12,,,PHC2,1.475145043019836
Sarcomatoid UC,SARC vs conventional UC,CD320,,,,,,,,,,ILMN_2115633,1.4479663943352137,7.93775209667323e-10,2.1551510475413083e-08,,,CD320,1.4479663943352137
Sarcomatoid UC,SARC vs conventional UC,RENBP,,,,,,,,,,ILMN_1780057,1.4270608758336882,3.562175342901967e-11,1.4374453990169103e-09,,,RENBP,1.4270608758336882
Sarcomatoid UC,SARC vs conventional UC,CYP26B1,,,,,,,,,,ILMN_1812297,1.402309345773186,1.0853647663059457e-07,1.6486432647243932e-06,,,CYP26B1,1.402309345773186
Sarcomatoid UC,SARC vs conventional UC,MME,,,,,,,,,,ILMN_1696162,1.3945066820749892,4.6928247714582166e-07,5.895950584326874e-06,,,MME,1.3945066820749892
Sarcomatoid UC,SARC vs conventional UC,GALNT10,,,,,,,,,,ILMN_1662556,1.3829516626101477,2.3059825096117644e-17,4.770623111610197e-15,,,GALNT10,1.3829516626101477
Sarcomatoid UC,SARC vs conventional UC,HYAL2,,,,,,,,,,ILMN_1665916,1.3421152613137046,2.441624186253909e-11,1.0246799102797302e-09,,,HYAL2,1.3421152613137046
Sarcomatoid UC,SARC vs conventional UC,ELP4,,,,,,,,,,ILMN_1659339,1.336633196994052,5.837082300496799e-20,2.286346223222593e-17,,,ELP4,1.336633196994052
Sarcomatoid UC,SARC vs conventional UC,DOK3,,,,,,,,,,ILMN_1692225,1.3365493051351258,5.777283617533567e-12,2.862044870696181e-10,,,DOK3,1.3365493051351258
Sarcomatoid UC,SARC vs conventional UC,IFT172,,,,,,,,,,ILMN_1784178,1.3344113112577531,2.4412574049694433e-13,1.7577651663183164e-11,,,IFT172,1.3344113112577531
Sarcomatoid UC,SARC vs conventional UC,CPT1B,,,,,,,,,,ILMN_1662144,1.3306125959998951,6.371979653214276e-13,3.999778766505893e-11,,,CPT1B,1.3306125959998951
Sarcomatoid UC,SARC vs conventional UC,P4HA2,,,,,,,,,,ILMN_2280135,1.327836637725298,4.066006007356897e-10,1.1968643134080518e-08,,,P4HA2,1.327836637725298
Sarcomatoid UC,SARC vs conventional UC,NCRNA00181,,,,,,,,,,ILMN_3234888,1.3246294524412487,6.48777225685023e-08,1.0512481279067248e-06,,,NCRNA00181,1.3246294524412487
Sarcomatoid UC,SARC vs conventional UC,KATNAL1,,,,,,,,,,ILMN_1786895,1.3207520889646114,5.36397360021816e-19,1.5916914389253416e-16,,,KATNAL1,1.3207520889646114
Sarcomatoid UC,SARC vs conventional UC,G6PD,,,,,,,,,,ILMN_1697559,1.3204367267217076,3.404906117474947e-10,1.0217277402727212e-08,,,G6PD,1.3204367267217076
Sarcomatoid UC,SARC vs conventional UC,PSCD4,,,,,,,,,,ILMN_1660364,1.31883353685481,3.4494799780034134e-08,6.042657919726075e-07,,,PSCD4,1.31883353685481
Sarcomatoid UC,SARC vs conventional UC,MAD1L1,,,,,,,,,,ILMN_2358074,1.284416727407903,8.819993254054362e-12,4.139056578663818e-10,,,MAD1L1,1.284416727407903
Sarcomatoid UC,SARC vs conventional UC,DBN1,,,,,,,,,,ILMN_1757270,1.2769536942318327,3.2584394842595445e-10,9.858205636363818e-09,,,DBN1,1.2769536942318327
Sarcomatoid UC,SARC vs conventional UC,WHSC1,,,,,,,,,,ILMN_2296335,1.2583293995458629,1.376872781428689e-15,1.9353297464129466e-13,,,WHSC1,1.2583293995458629
Sarcomatoid UC,SARC vs conventional UC,ATRIP,,,,,,,,,,ILMN_1653896,1.2286515907086226,3.7132382676178564e-14,3.325725627677127e-12,,,ATRIP,1.2286515907086226
Sarcomatoid UC,SARC vs conventional UC,NAT5,,,,,,,,,,ILMN_1692169,1.2152121179461055,4.215871524814582e-17,8.368220120572836e-15,,,NAT5,1.2152121179461055
Sarcomatoid UC,SARC vs conventional UC,PKD1,,,,,,,,,,ILMN_2339028,1.2131691825032584,7.83549539854771e-12,3.724649649241684e-10,,,PKD1,1.2131691825032584
Sarcomatoid UC,SARC vs conventional UC,FCGR1A,,,,,,,,,,ILMN_2176063,1.1921764790682294,1.823972188892167e-08,3.454727981501302e-07,,,FCGR1A,1.1921764790682294
Sarcomatoid UC,SARC vs conventional UC,IRGQ,,,,,,,,,,ILMN_1792955,1.1908488249899971,6.180477905828482e-14,5.206095007009029e-12,,,IRGQ,1.1908488249899971
Sarcomatoid UC,SARC vs conventional UC,PARVB,,,,,,,,,,ILMN_1676173,1.1783456286006366,2.1613092691484003e-09,5.2516776178471934e-08,,,PARVB,1.1783456286006366
Sarcomatoid UC,SARC vs conventional UC,LAT,,,,,,,,,,ILMN_2281320,1.1772514282688675,2.5087284502363786e-08,4.5718930324189873e-07,,,LAT,1.1772514282688675
Sarcomatoid UC,SARC vs conventional UC,COL6A2,,,,,,,,,,ILMN_1765017,1.1757627592801398,7.522263347452648e-11,2.755380677782001e-09,,,COL6A2,1.1757627592801398
Sarcomatoid UC,SARC vs conventional UC,C3orf75,,,,,,,,,,ILMN_3241169,1.1609699062798668,3.003494571054711e-13,2.1108531103797664e-11,,,C3orf75,1.1609699062798668
Sarcomatoid UC,SARC vs conventional UC,UCHL5IP,,,,,,,,,,ILMN_2371700,1.1596787077166013,4.737532552718377e-19,1.449734310429247e-16,,,UCHL5IP,1.1596787077166013
Sarcomatoid UC,SARC vs conventional UC,PCNT,,,,,,,,,,ILMN_1810922,1.1595259195459624,2.778040155592232e-18,7.222166871755132e-16,,,PCNT,1.1595259195459624
Sarcomatoid UC,SARC vs conventional UC,C17orf68,,,,,,,,,,ILMN_1755711,1.1576370456560667,3.151676800547831e-14,2.9207195384761404e-12,,,C17orf68,1.1576370456560667
Sarcomatoid UC,SARC vs conventional UC,SPIN2B,,,,,,,,,,ILMN_1769458,1.1565957493039,7.42446685489591e-18,1.777390113302947e-15,,,SPIN2B,1.1565957493039
Sarcomatoid UC,SARC vs conventional UC,CD99L2,,,,,,,,,,ILMN_1700681,1.1482043453299724,1.2649092840295894e-13,9.77874737814138e-12,,,CD99L2,1.1482043453299724
Sarcomatoid UC,SARC vs conventional UC,CCDC107,,,,,,,,,,ILMN_1709630,1.1477256594333245,4.8643952309254506e-11,1.8802807723539074e-09,,,CCDC107,1.1477256594333245
Sarcomatoid UC,SARC vs conventional UC,SOCS5,,,,,,,,,,ILMN_1715584,1.1438677643814898,3.293565199530121e-13,2.2765897615669728e-11,,,SOCS5,1.1438677643814898
Sarcomatoid UC,SARC vs conventional UC,DSE,,,,,,,,,,ILMN_2283001,1.1423522623328657,3.4020024903256435e-10,1.0217277402727212e-08,,,DSE,1.1423522623328657
Sarcomatoid UC,SARC vs conventional UC,B4GALT2,,,,,,,,,,ILMN_1806508,1.1401212761332298,7.327962049444897e-12,3.511803281020272e-10,,,B4GALT2,1.1401212761332298
Sarcomatoid UC,SARC vs conventional UC,RAGE,,,,,,,,,,ILMN_1745282,1.1345762711651943,1.712682998597254e-09,4.282328369784482e-08,,,RAGE,1.1345762711651943
Sarcomatoid UC,SARC vs conventional UC,PRKX,,,,,,,,,,ILMN_2205050,1.1277898480584527,3.0164286985482576e-16,4.895780435207303e-14,,,PRKX,1.1277898480584527
Sarcomatoid UC,SARC vs conventional UC,GTF3C5,,,,,,,,,,ILMN_1723895,1.1259058734776053,6.081343325565446e-22,3.7219088098986684e-19,,,GTF3C5,1.1259058734776053
Sarcomatoid UC,SARC vs conventional UC,IFRD2,,,,,,,,,,ILMN_1742031,1.124669767909559,1.6888890823744792e-17,3.702574221859334e-15,,,IFRD2,1.124669767909559
Sarcomatoid UC,SARC vs conventional UC,SLC3A2,,,,,,,,,,ILMN_1679041,1.1225173840652172,1.1042882151411068e-14,1.1572836710703284e-12,,,SLC3A2,1.1225173840652172
Sarcomatoid UC,SARC vs conventional UC,SDSL,,,,,,,,,,ILMN_1750674,1.1218916995989572,8.369426626934764e-11,3.0242145881852714e-09,,,SDSL,1.1218916995989572
Sarcomatoid UC,SARC vs conventional UC,CDKN2C,,,,,,,,,,ILMN_1652171,1.1176190716003225,1.64812711269231e-06,1.7846306741453003e-05,,,CDKN2C,1.1176190716003225
Sarcomatoid UC,SARC vs conventional UC,CD200R1,,,,,,,,,,ILMN_1750003,1.1169960346120833,1.1007606330529476e-08,2.2163841752704893e-07,,,CD200R1,1.1169960346120833
Sarcomatoid UC,SARC vs conventional UC,ZNF696,,,,,,,,,,ILMN_1712517,1.115855507270874,7.810231721126756e-12,3.7186576543199454e-10,,,ZNF696,1.115855507270874
Sarcomatoid UC,SARC vs conventional UC,WDR46,,,,,,,,,,ILMN_2212354,1.1068439510769892,1.6857780471871559e-25,4.952310169221708e-22,,,WDR46,1.1068439510769892
Sarcomatoid UC,SARC vs conventional UC,CCDC127,,,,,,,,,,ILMN_2214955,1.0925100858405807,8.693057957792641e-10,2.3407512706331292e-08,,,CCDC127,1.0925100858405807
Sarcomatoid UC,SARC vs conventional UC,LST1,,,,,,,,,,ILMN_1718936,1.0914071932042182,2.198673412186157e-05,0.0001753874946252,,,LST1,1.0914071932042182
Sarcomatoid UC,SARC vs conventional UC,DHX30,,,,,,,,,,ILMN_2403555,1.0707450019239566,9.245378502489052e-15,9.98534868630959e-13,,,DHX30,1.0707450019239566
Sarcomatoid UC,SARC vs conventional UC,LOC606724,,,,,,,,,,ILMN_2125747,1.070161699481889,3.4014417417820893e-07,4.480903768983517e-06,,,LOC606724,1.070161699481889
Sarcomatoid UC,SARC vs conventional UC,CTSL1,,,,,,,,,,ILMN_1694757,1.0658446863581703,8.771977806366429e-11,3.146451672986894e-09,,,CTSL1,1.0658446863581703
Sarcomatoid UC,SARC vs conventional UC,ZKSCAN5,,,,,,,,,,ILMN_1775428,1.063578847034063,5.345835944491091e-10,1.5173393482252642e-08,,,ZKSCAN5,1.063578847034063
Sarcomatoid UC,SARC vs conventional UC,CSF1,,,,,,,,,,ILMN_2302947,1.06181641214424,2.3820058663292455e-13,1.7235513875653756e-11,,,CSF1,1.06181641214424
Sarcomatoid UC,SARC vs conventional UC,SNX20,,,,,,,,,,ILMN_1746213,1.0586276391089309,8.13183819853193e-07,9.57470985003096e-06,,,SNX20,1.0586276391089309
Sarcomatoid UC,SARC vs conventional UC,PQLC1,,,,,,,,,,ILMN_1798620,1.0578151503040258,2.3416389787003896e-15,3.0304109373251694e-13,,,PQLC1,1.0578151503040258
Sarcomatoid UC,SARC vs conventional UC,WASH3P,,,,,,,,,,ILMN_3242416,1.0555559293582464,6.381799762946118e-07,7.724686099549572e-06,,,WASH3P,1.0555559293582464
Sarcomatoid UC,SARC vs conventional UC,SLC43A3,,,,,,,,,,ILMN_1672553,1.0485177721424297,1.0183861250476072e-09,2.6976671952681297e-08,,,SLC43A3,1.0485177721424297
Sarcomatoid UC,SARC vs conventional UC,PHC2,,,,,,,,,,ILMN_1673461,1.0462973890411886,2.329720628798238e-12,1.2697625772208875e-10,,,PHC2,1.0462973890411886
Sarcomatoid UC,SARC vs conventional UC,LLGL1,,,,,,,,,,ILMN_1798212,1.0421305226073532,1.784463570050688e-17,3.883124910916968e-15,,,LLGL1,1.0421305226073532
Sarcomatoid UC,SARC vs conventional UC,POMT2,,,,,,,,,,ILMN_1678805,1.039713762186648,1.6727847058298516e-22,1.4040398943761014e-19,,,POMT2,1.039713762186648
Sarcomatoid UC,SARC vs conventional UC,ARHGEF1,,,,,,,,,,ILMN_2293131,1.0389246385677504,6.94937448658768e-12,3.368841159942018e-10,,,ARHGEF1,1.0389246385677504
Sarcomatoid UC,SARC vs conventional UC,ARFGAP1,,,,,,,,,,ILMN_1675709,1.0379367142712903,8.917986325747624e-21,3.9694497619922425e-18,,,ARFGAP1,1.0379367142712903
Sarcomatoid UC,SARC vs conventional UC,PDGFA,,,,,,,,,,ILMN_1685982,1.0376661074114422,2.237376812153302e-09,5.414120149145598e-08,,,PDGFA,1.0376661074114422
Sarcomatoid UC,SARC vs conventional UC,PHF19,,,,,,,,,,ILMN_1745420,1.0364918816442703,6.181508118214434e-15,7.065920777773751e-13,,,PHF19,1.0364918816442703
Sarcomatoid UC,SARC vs conventional UC,FLCN,,,,,,,,,,ILMN_1655525,1.0342337991674784,1.6376693980535304e-16,2.8299890533305042e-14,,,FLCN,1.0342337991674784
Sarcomatoid UC,SARC vs conventional UC,MIR648,,,,,,,,,,ILMN_3308848,1.0231278490106694,8.690663559865367e-09,1.79413649612203e-07,,,MIR648,1.0231278490106694
Sarcomatoid UC,SARC vs conventional UC,PPP2R3B,,,,,,,,,,ILMN_1712257,1.0214463618836571,6.596732198447693e-13,4.105766987156734e-11,,,PPP2R3B,1.0214463618836571
Sarcomatoid UC,SARC vs conventional UC,MYO7A,,,,,,,,,,ILMN_1811719,1.0208530749830975,2.876167713165453e-07,3.872778288794549e-06,,,MYO7A,1.0208530749830975
Sarcomatoid UC,SARC vs conventional UC,IRF7,,,,,,,,,,ILMN_1674646,1.0183569519891256,6.41994306799776e-05,0.0004435528398602,,,IRF7,1.0183569519891256
Sarcomatoid UC,SARC vs conventional UC,FLJ20699,,,,,,,,,,ILMN_1692464,1.0129046359902274,7.83534497980517e-10,2.13128638399756e-08,,,FLJ20699,1.0129046359902274
Sarcomatoid UC,SARC vs conventional UC,CDCA3,,,,,,,,,,ILMN_1737728,1.012416703756713,2.3017337462777384e-12,1.2591812339739501e-10,,,CDCA3,1.012416703756713
Sarcomatoid UC,SARC vs conventional UC,TCIRG1,,,,,,,,,,ILMN_1694486,1.0123079558239043,1.045025681429691e-08,2.124548058364016e-07,,,TCIRG1,1.0123079558239043
Sarcomatoid UC,SARC vs conventional UC,P4HA2,,,,,,,,,,ILMN_2381697,1.012290752464434,1.5099442058423032e-11,6.710685466721532e-10,,,P4HA2,1.012290752464434
Sarcomatoid UC,SARC vs conventional UC,PCDHB17,,,,,,,,,,ILMN_2185866,1.0122878168824403,1.68464850488525e-07,2.4243094668928253e-06,,,PCDHB17,1.0122878168824403
Sarcomatoid UC,SARC vs conventional UC,MYO19,,,,,,,,,,ILMN_1750711,1.011484334403541,1.6946202337097085e-11,7.405149453128017e-10,,,MYO19,1.011484334403541
Sarcomatoid UC,SARC vs conventional UC,PLEC1,,,,,,,,,,ILMN_1717780,1.0106549279577868,7.171292908453182e-09,1.5232904683414978e-07,,,PLEC1,1.0106549279577868
Sarcomatoid UC,SARC vs conventional UC,SCYL1,,,,,,,,,,ILMN_1731991,1.009381480372367,5.971774532767817e-15,6.906803954689769e-13,,,SCYL1,1.009381480372367
Sarcomatoid UC,SARC vs conventional UC,PRIC285,,,,,,,,,,ILMN_1787509,1.008562522523369,3.0442046792824033e-08,5.413414095840142e-07,,,PRIC285,1.008562522523369
Sarcomatoid UC,SARC vs conventional UC,MAP1B,,,,,,,,,,ILMN_1680154,1.0062015873042132,2.5156232177668236e-09,6.01313777610545e-08,,,MAP1B,1.0062015873042132
Sarcomatoid UC,SARC vs conventional UC,ANKRD36,,,,,,,,,,ILMN_2382431,1.0058944222851256,6.365561038586632e-10,1.777576869111782e-08,,,ANKRD36,1.0058944222851256
Sarcomatoid UC,SARC vs conventional UC,TEAD4,,,,,,,,,,ILMN_1705301,1.0007251332646376,2.795980825229092e-14,2.6326130994472767e-12,,,TEAD4,1.0007251332646376
Sarcomatoid UC (DOWN),SARC vs conventional UC,MYH14,,,,,,,,,,ILMN_1804461,-2.408254930032405,1.248945277183146e-12,7.308817810320572e-11,,,MYH14,-2.408254930032405
Sarcomatoid UC (DOWN),SARC vs conventional UC,UPK1A,,,,,,,,,,ILMN_1655637,-2.375721724567777,1.2659177073095677e-18,3.475594811928333e-16,,,UPK1A,-2.375721724567777
Sarcomatoid UC (DOWN),SARC vs conventional UC,S100P,,,,,,,,,,ILMN_1801216,-2.3020589618133105,2.503569489557057e-11,1.0476832036284567e-09,,,S100P,-2.3020589618133105
Sarcomatoid UC (DOWN),SARC vs conventional UC,UPK2,,,,,,,,,,ILMN_1685934,-2.2813128790301027,2.306450618455791e-22,1.7830684162730466e-19,,,UPK2,-2.2813128790301027
Sarcomatoid UC (DOWN),SARC vs conventional UC,CXCL17,,,,,,,,,,ILMN_1796337,-2.204497235018596,1.3649668964727952e-24,3.084510193667792e-21,,,CXCL17,-2.204497235018596
Sarcomatoid UC (DOWN),SARC vs conventional UC,RAB25,,,,,,,,,,ILMN_1791826,-2.151706268071204,1.0164057251199802e-22,9.631919673177309e-20,,,RAB25,-2.151706268071204
Sarcomatoid UC (DOWN),SARC vs conventional UC,LAD1,,,,,,,,,,ILMN_1782389,-2.1496408683159283,3.2824696395118046e-08,5.791538174170467e-07,,,LAD1,-2.1496408683159283
Sarcomatoid UC (DOWN),SARC vs conventional UC,ELF3,,,,,,,,,,ILMN_1769201,-2.1430144981816603,3.781769956963814e-11,1.5218774798044651e-09,,,ELF3,-2.1430144981816603
Sarcomatoid UC (DOWN),SARC vs conventional UC,FXYD3,,,,,,,,,,ILMN_2376050,-2.088067501776381,3.3994756376822603e-19,1.09743292096914e-16,,,FXYD3,-2.088067501776381
Sarcomatoid UC (DOWN),SARC vs conventional UC,TACSTD2,,,,,,,,,,ILMN_1739001,-2.0642341892464726,9.56734832461404e-09,1.964081004417796e-07,,,TACSTD2,-2.0642341892464726
Sarcomatoid UC (DOWN),SARC vs conventional UC,PSCA,,,,,,,,,,ILMN_1771538,-2.027012521103112,6.404301967076996e-10,1.7866968555253652e-08,,,PSCA,-2.027012521103112
Sarcomatoid UC (DOWN),SARC vs conventional UC,JUP,,,,,,,,,,ILMN_1733811,-1.9632545313239216,1.9517016151231428e-10,6.321404448453425e-09,,,JUP,-1.9632545313239216
Sarcomatoid UC (DOWN),SARC vs conventional UC,FOSB,,,,,,,,,,ILMN_1751607,-1.9524910080544045,7.378336275982492e-10,2.031428161007851e-08,,,FOSB,-1.9524910080544045
Sarcomatoid UC (DOWN),SARC vs conventional UC,CYP4B1,,,,,,,,,,ILMN_2173291,-1.9149354337353743,1.15134997357693e-14,1.1909580342876577e-12,,,CYP4B1,-1.9149354337353743
Sarcomatoid UC (DOWN),SARC vs conventional UC,TINAGL1,,,,,,,,,,ILMN_1807169,-1.887991373769422,2.3339902648481824e-10,7.364729539252961e-09,,,TINAGL1,-1.887991373769422
Sarcomatoid UC (DOWN),SARC vs conventional UC,KRT19,,,,,,,,,,ILMN_1730777,-1.8743446983647924,2.145985292591438e-06,2.2515217835878097e-05,,,KRT19,-1.8743446983647924
Sarcomatoid UC (DOWN),SARC vs conventional UC,FXYD3,,,,,,,,,,ILMN_1665372,-1.829865921378202,1.554175114432532e-14,1.54246629515826e-12,,,FXYD3,-1.829865921378202
Sarcomatoid UC (DOWN),SARC vs conventional UC,SFRP4,,,,,,,,,,ILMN_1810172,-1.82930896015364,1.5433246601604572e-09,3.90846970185636e-08,,,SFRP4,-1.82930896015364
Sarcomatoid UC (DOWN),SARC vs conventional UC,EVPL,,,,,,,,,,ILMN_1727288,-1.8253299863061896,2.268735201765086e-07,3.1381677092415534e-06,,,EVPL,-1.8253299863061896
Sarcomatoid UC (DOWN),SARC vs conventional UC,UPK3B,,,,,,,,,,ILMN_2264177,-1.806617459419182,2.565975957154783e-16,4.211210932588607e-14,,,UPK3B,-1.806617459419182
Sarcomatoid UC (DOWN),SARC vs conventional UC,GRB7,,,,,,,,,,ILMN_2405254,-1.7463181039838584,2.1285808275639263e-16,3.609471815553089e-14,,,GRB7,-1.7463181039838584
Sarcomatoid UC (DOWN),SARC vs conventional UC,MGST1,,,,,,,,,,ILMN_2355168,-1.7323456437533196,8.279311949857596e-11,2.9953367875734802e-09,,,MGST1,-1.7323456437533196
Sarcomatoid UC (DOWN),SARC vs conventional UC,SPRR1A,,,,,,,,,,ILMN_1716591,-1.7164742694205426,1.843732397827735e-09,4.563043525778043e-08,,,SPRR1A,-1.7164742694205426
Sarcomatoid UC (DOWN),SARC vs conventional UC,NR4A1,,,,,,,,,,ILMN_1661178,-1.7008921857882884,4.031008274375119e-09,9.158463269630153e-08,,,NR4A1,-1.7008921857882884
Sarcomatoid UC (DOWN),SARC vs conventional UC,FOXA1,,,,,,,,,,ILMN_1766650,-1.6974717259562953,4.8301003211283054e-20,1.917484555861976e-17,,,FOXA1,-1.6974717259562953
Sarcomatoid UC (DOWN),SARC vs conventional UC,CXCL14,,,,,,,,,,ILMN_1748323,-1.6634291935525587,1.2120437471415388e-20,5.236207229378969e-18,,,CXCL14,-1.6634291935525587
Sarcomatoid UC (DOWN),SARC vs conventional UC,GRB7,,,,,,,,,,ILMN_1740762,-1.661896906253256,6.018914658520252e-17,1.1709778537970163e-14,,,GRB7,-1.661896906253256
Sarcomatoid UC (DOWN),SARC vs conventional UC,SPINK1,,,,,,,,,,ILMN_1787266,-1.661504416228821,1.4751236545453478e-11,6.590152623353005e-10,,,SPINK1,-1.661504416228821
Sarcomatoid UC (DOWN),SARC vs conventional UC,KRT20,,,,,,,,,,ILMN_1794729,-1.661177358110664,1.75631453757195e-14,1.714127979078112e-12,,,KRT20,-1.661177358110664
Sarcomatoid UC (DOWN),SARC vs conventional UC,SNORA1,,,,,,,,,,ILMN_3245893,-1.649373607499606,2.053733159963489e-28,2.0110839680082472e-24,,,SNORA1,-1.649373607499606
